Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Acc_3,F1_score_3,Loss
LF_DNN,"(76.06, 1.93)","(76.18, 1.84)","(45.58, 2.9)","(46.24, 1.39)","(73.99, 1.79)","(72.38, 1.67)","(65.16, 2.54)"
EF_LSTM,"(77.0, 0.67)","(77.03, 0.65)","(46.8, 2.27)","(46.74, 0.61)","(74.55, 0.62)","(72.84, 0.6)","(65.22, 2.07)"
Graph_MFN,"(77.0, 2.55)","(77.08, 2.46)","(45.58, 3.89)","(46.59, 1.67)","(74.9, 2.02)","(73.27, 1.87)","(64.77, 3.28)"
LMF,"(75.83, 1.3)","(76.01, 1.24)","(43.78, 2.38)","(45.91, 0.93)","(74.02, 1.05)","(72.52, 0.95)","(67.35, 3.63)"
MFN,"(76.44, 1.63)","(76.6, 1.61)","(43.87, 3.05)","(46.16, 1.26)","(74.63, 1.34)","(73.08, 1.26)","(64.6, 2.93)"
MISA,"(79.94, 3.22)","(79.81, 3.23)","(49.03, 4.74)","(48.25, 1.9)","(77.32, 2.93)","(75.43, 2.9)","(59.32, 4.62)"
TFN,"(74.9, 2.07)","(75.07, 1.99)","(42.93, 3.29)","(45.27, 1.47)","(73.09, 1.8)","(71.58, 1.67)","(67.27, 2.2)"
EF_LSTM,"(76.7, 1.79)","(76.76, 1.62)","(46.71, 3.01)","(46.7, 1.15)","(74.55, 1.49)","(72.86, 1.3)","(65.0, 2.23)"
mult,"(78.75, 1.25)","(78.79, 1.14)","(48.38, 2.09)","(47.98, 0.78)","(76.68, 0.93)","(75.09, 0.94)","(63.37, 3.15)"
mult,"(78.83, 1.49)","(78.81, 1.48)","(48.35, 2.66)","(47.86, 0.84)","(76.44, 1.42)","(74.8, 1.53)","(61.88, 2.06)"
ef_lstm,"(76.5, 2.21)","(76.52, 2.07)","(46.43, 3.81)","(46.43, 1.6)","(74.11, 1.9)","(72.41, 1.74)","(66.21, 2.84)"
misa,"(79.47, 2.81)","(79.36, 2.82)","(47.53, 5.47)","(47.82, 1.87)","(76.97, 2.52)","(75.11, 2.51)","(59.34, 3.74)"
ef_lstm,"(76.82, 1.09)","(76.88, 1.03)","(77.9, 1.09)","(77.87, 1.03)","(74.49, 1.04)","(72.81, 0.96)","(65.62, 2.54)"
mult,"(78.83, 1.49)","(78.81, 1.48)","(80.0, 1.5)","(79.9, 1.55)","(76.44, 1.42)","(74.8, 1.53)","(61.88, 2.06)"
